NEIGHBORHOOD,CRASHES
Fairywood,17
Windgap,37
Sheraden,14
Crafton Heights,146
Elliot,89
Greentree,45
East Carnegie,25
West End,56
Mount Washington,103
Beechview,62
Beltzhoover,37
South Shore,42
Allentown,45
Bon AIr,37
Brookline,43
Southside Flats,32
Southside Slopes,34
Knoxville,36
Carrick,45
Overbrook,34
Mt Oliver,21
Arlington,31
Hays,32
New Homestead,35
Lincoln Place,43
Brighton Heights,73
Observatory Hill,43
Summer Hill,43
Marshall-Shadeland,67
Perry Hilltop,54
Spring Hill,42
Spring Garden,35
Fineview,27
Mex War Sts,43
California-Kirkbride,34
Manchester,54
Chateau,80
Allegheny Center,35
Allegheny East,44
Allegheny West,33
Troy Hill,59
North Shore,86
Northview Heights,34
Herrs Island,2
Central Business District,183
Bluff,92
Crawford-Roberts,26
Strip District,59
Bedford Dwellings,17
Middle Hill,24
Terrace Village,26
West Oakland,32
South Oakland,57
Central Oakland,32
Polish Hill,36
Upper Hill,42
North Oakland,65
Greenfield,44
Hazelwood,80
Glen-Hazel,67
Squirrel Hill South,174
Squirrel Hill North,132
Point Breeze,126
Swisshelm Park,57
Regent Square,43
Point Breeze North,76
Homewood West ,40
Homewood North,47
Homewood South,52
East Hills,33
Larimer,65
East Liberty,77
Friendship,15
Garfield,63
Central Lawrenceville,106
Lower Lawrenceville,56
Upper Lawrenceville,78
Stanton Heights,57
Morningside,59
Highland Park,57
Lincoln-Lemington-Belmar,55
Hays,126
New Homestead,49
Lincoln Place,54
St Clair,78
Mt Oliver,35
Arlington Heights,12
Arlington,57
Esplen,13
Marchall-Shadeland,90
Brunot Island,0
Duquesne Heights,114
