neighborhood_municipality,indv_tested,cases,deaths,update_date
Aleppo,607,108,9,2021-03-29
Allegheny Center (Pittsburgh),477,95,5,2021-03-29
Allegheny West (Pittsburgh),215,28,0,2021-03-29
Allentown (Pittsburgh),712,116,0,2021-03-29
Arlington (Pittsburgh),527,111,5,2021-03-29
Arlington Heights (Pittsburgh),74,4,2,2021-03-29
Aspinwall,1018,144,1,2021-03-29
Avalon,1502,283,9,2021-03-29
Baldwin Borough,7419,2260,48,2021-03-29
Baldwin Township,636,153,1,2021-03-29
Banksville (Pittsburgh),1314,301,14,2021-03-29
Bedford Dwellings (Pittsburgh),362,54,3,2021-03-29
Beechview (Pittsburgh),2357,559,9,2021-03-29
Bell Acres,422,69,1,2021-03-29
Bellevue,2530,473,7,2021-03-29
Beltzhoover (Pittsburgh),494,97,1,2021-03-29
Ben Avon,600,101,0,2021-03-29
Ben Avon Heights,148,21,0,2021-03-29
Bethel Park,10480,2293,56,2021-03-29
Blawnox,419,75,1,2021-03-29
Bloomfield (Pittsburgh),3465,450,5,2021-03-29
Bluff (Pittsburgh),2924,703,0,2021-03-29
Bon Air (Pittsburgh),218,56,1,2021-03-29
Brackenridge,1406,316,13,2021-03-29
Braddock,717,134,0,2021-03-29
Braddock Hills,538,91,0,2021-03-29
Bradford Woods,392,78,0,2021-03-29
Brentwood,3301,793,14,2021-03-29
Bridgeville,1513,336,8,2021-03-29
Brighton Heights (Pittsburgh),2607,459,3,2021-03-29
Brookline (Pittsburgh),4167,823,8,2021-03-29
California-Kirkbride (Pittsburgh),218,45,2,2021-03-29
Carnegie,2495,499,2,2021-03-29
Carrick (Pittsburgh),3126,679,12,2021-03-29
Castle Shannon,2540,586,7,2021-03-29
Central Business District (Pittsburgh),2659,301,0,2021-03-29
Central Lawrenceville (Pittsburgh),1983,271,18,2021-03-29
Central Northside (Pittsburgh),1223,175,4,2021-03-29
Central Oakland (Pittsburgh),2211,434,0,2021-03-29
Chalfant,226,46,1,2021-03-29
Chartiers City (Pittsburgh),152,27,0,2021-03-29
Chateau (Pittsburgh),16,0,0,2021-03-29
Cheswick,521,113,2,2021-03-29
Churchill,1076,195,3,2021-03-29
Clairton,2161,459,7,2021-03-29
Collier,2749,598,4,2021-03-29
Coraopolis,1554,339,6,2021-03-29
Crafton,1900,403,9,2021-03-29
Crafton Heights (Pittsburgh),1219,270,1,2021-03-29
Crawford-Roberts (Pittsburgh),889,168,5,2021-03-29
Crescent,676,189,7,2021-03-29
Dormont,2709,524,2,2021-03-29
Dravosburg,521,122,2,2021-03-29
Duquesne,1614,311,9,2021-03-29
Duquesne Heights (Pittsburgh),874,208,2,2021-03-29
East Allegheny (Pittsburgh),801,112,3,2021-03-29
East Carnegie (Pittsburgh),191,49,2,2021-03-29
East Deer,459,116,0,2021-03-29
East Hills (Pittsburgh),836,177,5,2021-03-29
East Liberty (Pittsburgh),2513,398,22,2021-03-29
East Mckeesport,608,142,2,2021-03-29
East Pittsburgh,581,113,2,2021-03-29
Edgewood,1257,122,0,2021-03-29
Edgeworth,667,56,1,2021-03-29
Elizabeth Borough,435,95,0,2021-03-29
Elizabeth Township,4089,981,17,2021-03-29
Elliott (Pittsburgh),724,126,1,2021-03-29
Emsworth,915,159,0,2021-03-29
Esplen (Pittsburgh),51,15,0,2021-03-29
Etna,1097,222,2,2021-03-29
Fairywood (Pittsburgh),698,139,1,2021-03-29
Fawn,656,169,1,2021-03-29
Findlay,1618,359,2,2021-03-29
Fineview (Pittsburgh),340,49,2,2021-03-29
Forest Hills,2138,364,8,2021-03-29
Forward,865,205,3,2021-03-29
Fox Chapel,2219,302,1,2021-03-29
Franklin Park,4748,927,16,2021-03-29
Frazer,332,82,0,2021-03-29
Friendship (Pittsburgh),840,74,0,2021-03-29
Garfield (Pittsburgh),1241,184,6,2021-03-29
Glassport,1291,262,4,2021-03-29
Glen Hazel (Pittsburgh),486,123,22,2021-03-29
Glen Osborne,168,21,0,2021-03-29
Glenfield,57,13,0,2021-03-29
Green Tree,1599,386,4,2021-03-29
Greenfield (Pittsburgh),2621,336,5,2021-03-29
Hampton,5807,1231,16,2021-03-29
Harmar,1242,288,22,2021-03-29
Harrison,3091,713,6,2021-03-29
Hays (Pittsburgh),93,32,1,2021-03-29
Haysville,19,3,0,2021-03-29
Hazelwood (Pittsburgh),1340,218,2,2021-03-29
Heidelberg,379,72,1,2021-03-29
Highland Park (Pittsburgh),2578,298,7,2021-03-29
Homestead,955,185,3,2021-03-29
Homewood North (Pittsburgh),752,147,2,2021-03-29
Homewood South (Pittsburgh),730,146,5,2021-03-29
Homewood West (Pittsburgh),201,38,0,2021-03-29
Indiana,2421,551,13,2021-03-29
